Time,Conc,RT
0,1627,14.28
0.5,622,14.28
1,4643,14.28
1.5,5490,14.28
2,2233,14.28
2.5,3534,14.28
3,1368,14.28
3.5,1151,14.28
4,952,14.28
4.5,677,14.28
5,457,14.28
5.5,1064,14.28
6,72391,14.28
6.5,121165,14.28
7,626071,14.28
7.5,569350,14.28
8,441109,14.28
8.5,254110,14.28
9,169069,14.28
9.5,174317,14.28
10,179344,14.28
10.5,126435,14.28
11,98575,14.28
11.5,128332,14.28
12,105785,14.28
12.5,91656,14.28
13,85788,14.28
13.5,72953,14.28
14,69568,14.28
14.5,58370,14.28
15,50647,14.28
15.5,38077,14.28
16,42984,14.28
16.5,44616,14.28
17,36050,14.28
17.5,33140,14.28
18,30926,14.28
18.5,28076,14.28
19,25476,14.28
19.5,16470,14.28
20,30322,14.28
20.5,25521,14.28
21,21612,14.28
21.5,21323,14.28
22,22580,14.28
22.5,19266,14.28
23,24576,14.28
23.5,26503,14.28
24,25313,14.28
24.5,17947,14.28
25,18525,14.28
25.5,17788,14.28
26,10463,14.28
26.5,40562,14.28
27,32023,14.28
27.5,22949,14.28
28,23565,14.28
28.5,17692,14.28
29,19325,14.28
29.5,21875,14.28
30,18684,14.28
30.5,25711,14.28
31,28085,14.28
31.5,27517,14.28
32,40812,14.28
32.5,38593,14.28
33,34114,14.28
