Time,Conc,RT
0,2383,25
0.5,757,25
1,658,25
1.5,784,25
2,4275,25
2.5,578,25
3,477,25
3.5,27798,25
4,84582,25
4.5,175294,25
5,226911,25
5.5,48043,25
6,161334,25
6.5,137953,25
7,106791,25
7.5,87153,25
8,66979,25
8.5,50281,25
9,44574,25
9.5,39083,25
10,32007,25
10.5,26435,25
11,23572,25
11.5,22504,25
12,18921,25
12.5,17022,25
13,17584,25
13.5,16653,25
14,14630,25
14.5,14183,25
15,12587,25
15.5,12744,25
16,10728,25
16.5,8810,25
17,8746,25
17.5,7892,25
18,7335,25
18.5,6616,25
19,6114,25
19.5,5725,25
20,5697,25
20.5,6523,25
21,6293,25
21.5,5379,25
22,4935,25
22.5,4581,25
23,4393,25
23.5,4512,25
24,3890,25
24.5,3899,25
25,3607,25
25.5,3384,25
26,3514,25
26.5,3097,25
27,3163,25
27.5,2964,25
28,2689,25
28.5,2582,25
29,2725,25
29.5,2624,25
30,2104,25
